state,city,attraction_name,category,description,time_hours,estimated_visit_cost_inr,cost_category,popularity_score,best_time_to_visit,budget_level,popularity_norm,latitude,longitude,dist_km_to_city_center,proximity_score,poi_budget_ord,user_budget_ord,budget_match,target_score,city_id,budget_id,costcat_id,cat_id
rajasthan,jaipur,hawa mahal,palace,architectural,-0.8235232346735313,-0.5301299204122149,medium,572000,morning,moderate,0.3437861515746421,26.923932,75.8268652,-0.18873719447390866,0.9737050532986823,1,1,1.0,0.5996979542694558,49,2,2,34
rajasthan,jaipur,albert hall museum,museum,historical,0.2214307186886533,0.35343553010638884,medium,283500,all,moderate,0.16913867010029054,26.9117053,75.8194973,-0.07436319992499657,0.9582346417901917,1,1,1.0,0.4910418625077222,49,2,2,31
rajasthan,jaipur,city palace,palace,historical,0.2214307186886533,0.35343553010638884,medium,224400,morning,moderate,0.133361664363257,26.9262096,75.8238346,-0.1997772170917785,0.9751983446157784,1,1,1.0,0.4738165847718988,49,2,2,34
rajasthan,jaipur,jaigarh fort,fort,historical,-0.301046257992439,-0.2650602852566337,medium,135000,all,moderate,0.0792421328422621,26.9837152,75.8452471,-0.056863167657751096,0.955867559118524,1,1,1.0,0.4365121694849883,49,2,2,13
rajasthan,jaisalmer,jaisalmer fort,fort,historical,0.7439076953697455,0.35343553010638884,medium,246400,all,moderate,0.1466796698829649,26.9127655,70.9124933,-0.38313784690838787,1.0,1,1,1.0,0.488007801929779,50,2,2,13
west bengal,jalpaiguri,gorumara national park,national park,wildlife,1.2663846720508378,0.7461312858924349,medium,30800,all,moderate,0.016163215789827334,26.7474882,88.8145859,-0.38313784690838787,1.0,1,1,1.0,0.4096979294738964,51,2,2,32
jammu and kashmir,jammu,vaishno devi,temple,religious,3.356292578775207,1.7278706753575501,high,258500,all,luxury,0.15400457291880426,33.027399,74.945375,-0.38313784690838787,1.0,2,2,1.0,0.49240274375128257,52,1,0,49
uttar pradesh,jhansi,jhansi fort,fort,historical,-0.301046257992439,-0.30432986083523833,medium,110000,all,moderate,0.06410803566077583,25.4573176,78.5754799,-0.38313784690838787,1.0,1,1,1.0,0.4384648213964655,53,2,2,13
rajasthan,jodhpur,mehrangarh fort,fort,historical,0.2214307186886533,0.1570876522133658,medium,294400,all,moderate,0.17573713647141856,26.2995407,73.0195132,-0.38313784690838787,1.0,1,1,1.0,0.5054422818828511,54,2,2,13
uttarakhand,joshimath,valley of flowers,national park,nature,3.356292578775207,2.0223924921970844,high,16450,morning,luxury,0.007476244007654217,30.7056798,79.5958552,-0.38313784690838787,1.0,2,2,1.0,0.40448574640459256,55,1,0,32
gujarat,junagadh,gir national park,national park,wildlife,1.2663846720508378,7.421959134255218,high,36000,morning,luxury,0.01931110800357648,21.1267789,70.7747952,-0.38313784690838787,1.0,2,2,1.0,0.4115866648021459,56,1,0,32
andhra pradesh,kadapa,gandikota fort,fort,historical,-0.301046257992439,-0.3337820425191918,medium,6750,morning,moderate,0.0016042143012375445,14.8133184,78.2874575,-0.38313784690838787,1.0,1,1,1.0,0.40096252858074255,57,2,2,13
himachal pradesh,kangra,kangra fort,fort,historical,0.2214307186886533,0.25526159115987734,medium,44000,all,moderate,0.024154019101652085,32.0867046,76.2533449,-0.38313784690838787,1.0,1,1,1.0,0.41449241146099125,58,2,2,13
kerala,kannur,st. angelo fort,fort,historical,-0.8235232346735313,-0.5890342837801218,medium,48400,all,moderate,0.026817620205593667,11.8541212,75.3719755,-0.38313784690838787,1.0,1,1,1.0,0.4160905721233562,59,2,2,13
tamil nadu,kanyakumari,vivekananda rock memorial,memorial,historical,-0.8235232346735313,-0.5890342837801218,medium,216199,morning,moderate,0.12839707512384224,8.0783202,77.5549562,-0.38313784690838787,1.0,1,1,1.0,0.47703824507430537,60,2,2,26
assam,kaziranga,kaziranga national park,national park,wildlife,1.2663846720508378,1.8260446143040616,high,30600,morning,luxury,0.016042143012375446,26.5863767,93.4020882,-0.38313784690838787,1.0,2,2,1.0,0.4096252858074253,61,1,0,32
uttarakhand,kedarnath,kedarnath,temple,religious,-0.301046257992439,-0.3337820425191918,medium,960000,all,moderate,0.578667339831309,30.7351837,79.0668727,-0.38313784690838787,1.0,1,1,1.0,0.7472004038987855,62,2,2,49
himachal pradesh,kinnaur,sangla valley,valley,nature,0.2214307186886533,-0.039260225679657236,medium,4500,morning,moderate,0.0002421455549037803,31.3533438,78.3540103,-0.38313784690838787,1.0,1,1,1.0,0.4001452873329423,63,2,2,54
jammu and kashmir,kishtwar,kishtwar national park,national park,wildlife,1.2663846720508378,0.7461312858924349,medium,4300,all,moderate,0.00012107277745189015,33.5673765,75.9801829,-0.38313784690838787,1.0,1,1,1.0,0.4000726436664711,64,2,2,32
kerala,kochi,lulu international shopping mall,mall,shopping,1.2663846720508378,0.5497834079994118,medium,873999,all,moderate,0.526605440163109,10.0272184,76.3078873,-0.013605982364788709,0.950016522265081,1,1,1.0,0.7034673946641357,65,2,2,23
kerala,kochi,fort kochi,site,historical,-0.8235232346735313,-0.6283038593587263,low,44000,all,budget,0.024154019101652085,9.967569,76.2421901,-0.013587652788661841,0.9500140429769651,0,0,1.0,0.4019959222052325,65,0,1,44
tamil nadu,kodaikanal,kodaikanal lake,lake,recreational,0.2214307186886533,-0.039260225679657236,medium,39000,morning,moderate,0.02112719966535483,10.234003,77.4865229,-0.38313784690838787,1.0,1,1,1.0,0.41267631979921293,66,2,2,21
maharastra,kolhapur,mahalakshmi temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,432000,all,budget,0.259035207358319,16.6948575,74.2228947,-0.38313784690838787,1.0,0,0,1.0,0.5554211244149914,67,0,1,49
west bengal,kolkata,howrah bridge,bridge,architectural,-1.3460002113546234,-0.922825676198261,low,552000,anytime,budget,0.33167887382945305,22.5850528,88.3469761,-0.2327515142192167,0.9796585013828533,0,0,1.0,0.5939219496433852,68,0,1,5
west bengal,kolkata,science city kolkata,science,educational,1.2663846720508378,0.6675921347352257,medium,387200,all,moderate,0.23191490520909558,22.5400604,88.3958472,0.015623019328102155,0.9460629602166907,1,1,1.0,0.52566468317963,68,2,2,42
west bengal,kolkata,dakshineswar kali temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,385400,morning,budget,0.23082525021202857,22.654827,88.3575776,0.3407027638851924,0.9020921481347319,0,0,1.0,0.5140181871609001,68,0,1,49
west bengal,kolkata,victoria memorial,museum,historical,-0.301046257992439,-0.27487767915128486,medium,335800,morning,moderate,0.20079920140395982,22.5449558,88.3425545,-0.16233665432435648,0.9701340735338255,1,1,1.0,0.5130130392258323,68,2,2,31
west bengal,kolkata,kalighat kali temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,220000,morning,budget,0.1306980632593154,22.520211,88.3420596,0.03579276970537269,0.9433347671550549,0,0,1.0,0.46425252974435294,68,0,1,49
west bengal,kolkata,indian museum,museum,historical,0.2214307186886533,0.05891371326685429,medium,82800,morning,moderate,0.04764213792731877,22.5575863,88.3510335,-0.2854474832050471,0.9867862433863103,1,1,1.0,0.42528184360296883,68,2,2,31
west bengal,kolkata,marble palace,palace,historical,-0.8235232346735313,-0.6283038593587263,low,44000,afternoon,budget,0.024154019101652085,22.5821271,88.3602101,-0.26271528984203385,0.9837114501415399,0,0,1.0,0.41042027399637626,68,0,1,34
west bengal,kolkata,eden gardens,cricket ground,sports,1.2663846720508378,5.458480355324988,high,41000,all,luxury,0.02233792743987373,22.5646093,88.3423371,-0.2804376185695967,0.9861086009920061,2,2,1.0,0.40992990671192575,68,1,0,9
odisha,konark,sun temple,temple,historical,-0.301046257992439,-0.2552428913619826,medium,390100,all,moderate,0.23367046048214798,19.8875639,86.0944894,-0.38313784690838787,1.0,1,1,1.0,0.5402022762892887,69,2,2,49
kerala,kovalam,kovalam beach,beach,recreational,0.2214307186886533,-0.039260225679657236,medium,299200,all,moderate,0.1786428831302639,8.3950997,76.9729934,-0.38313784690838787,1.0,1,1,1.0,0.5071857298781584,70,2,2,2
kerala,kozhikode,kozhikode beach,beach,recreational,-0.301046257992439,-0.3337820425191918,medium,23010,all,moderate,0.011447431108076214,11.255511,75.7697038,-0.38313784690838787,1.0,1,1,1.0,0.4068684586648458,71,2,2,2
himachal pradesh,kullu,great himalayan national park,national park,wildlife,1.2663846720508378,0.6479573469459234,medium,90000,all,moderate,0.052000757915586816,31.7968335,77.7239269,-0.38313784690838787,1.0,1,1,1.0,0.4312004547493521,72,2,2,32
ladakh,leh,pangong tso,lake,nature,0.2214307186886533,9.349898947373974e-06,medium,73500,morning,moderate,0.042012253775805884,33.6850323,78.720047,5.737267348082774,0.1721440932560525,1,1,1.0,0.21824337557949663,73,2,2,21
ladakh,leh,magnetic hill,gravity hill,nature,-1.3460002113546234,-0.922825676198261,low,37000,all,budget,0.01991647189083593,34.1709853,77.3524824,3.863719165123122,0.42556325104349346,0,0,1.0,0.2683406958953749,73,0,1,16
ladakh,leh,thiksey monastery,monastery,religious,-0.301046257992439,-0.2945124669405872,medium,23500,all,moderate,0.011744059412833345,34.0565625,77.6667387,1.476787591267316,0.7484234767075246,1,1,1.0,0.34415230482458115,73,2,2,27
uttar pradesh,lucknow,bara imambara,monument,historical,-0.301046257992439,-0.23560810357268028,medium,198000,all,moderate,0.1173800577396075,26.8686449,80.912496,0.06897916728171284,0.9388459213381782,1,1,1.0,0.45513951497830907,74,2,2,28
uttar pradesh,lucknow,phoenix palassio,mall,shopping,0.2214307186886533,-0.039260225679657236,medium,161000,all,moderate,0.09498159391100783,26.8087716,81.0127929,0.06906174454404053,0.9388347518041028,1,1,1.0,0.44169764429763037,74,2,2,23
tamil nadu,madurai,meenakshi amman temple,temple,religious,0.2214307186886533,-0.039260225679657236,medium,305500,all,moderate,0.18245667561999845,9.9195433,78.1188334,-0.38313784690838787,1.0,1,1,1.0,0.509474005371999,75,2,2,49
tamil nadu,mahabalipuram,shore temple,temple,historical,-0.8235232346735313,-0.5497647082015171,medium,41400,all,moderate,0.022580072994777513,12.6166214,80.199159,-0.38313784690838787,1.0,1,1,1.0,0.4135480437968665,76,2,2,49
assam,majuli,majuli island,river island,cultural,0.2214307186886533,-0.039260225679657236,medium,4700,morning,moderate,0.00036321833235567044,27.0129015,94.2746854,-0.38313784690838787,1.0,1,1,1.0,0.4002179309994134,77,2,2,40
himachal pradesh,manali,solang valley,valley,adventure,0.2214307186886533,-0.039260225679657236,medium,20500,morning,moderate,0.009927967751054992,32.3160963,77.1565572,-0.38313784690838787,1.0,1,1,1.0,0.405956780650633,78,2,2,54
himachal pradesh,mandi,prashar lake,lake,nature,-0.301046257992439,-0.3337820425191918,medium,4600,morning,moderate,0.00030268194362972537,31.7544774,77.1016413,-0.38313784690838787,1.0,1,1,1.0,0.40018160916617784,79,2,2,21
karnataka,mangalore,panambur beach,beach,recreational,-0.301046257992439,-0.3337820425191918,medium,45000,all,moderate,0.024759382988911536,12.9384859,74.8103562,-0.38313784690838787,1.0,1,1,1.0,0.4148556297933469,80,2,2,2
himachal pradesh,manikaran,manikaran sahib,gurudwara,religious,-0.8235232346735313,-0.6283038593587263,low,598000,morning,budget,0.3595256126433878,32.0269237,77.3449068,-0.38313784690838787,1.0,0,0,1.0,0.6157153675860326,81,0,1,17
maharashtra,matheran,echo point,viewpoint,nature,-0.301046257992439,-0.3337820425191918,medium,8800,morning,moderate,0.0028452102701194185,18.9862195,73.2611377,-0.38313784690838787,1.0,1,1,1.0,0.4017071261620716,82,2,2,55
maharastra,mumbai,gateway of india,monument,historical,-0.8235232346735313,-0.6283038593587263,low,1655999,all,budget,0.9999999999999994,18.9219661,72.8345657,0.45508885810107436,0.8866201000057151,0,0,1.0,0.9716550250014284,83,0,1,28
maharastra,mumbai,marine drive,promenade,scenic,0.2214307186886533,-0.039260225679657236,medium,675000,evening,moderate,0.4061386319623655,18.9306176,72.8223499,0.38674156571588375,0.8958648653289883,1,1,1.0,0.6176493955096664,83,2,2,36
maharastra,mumbai,siddhivinayak temple,temple,religious,0.2214307186886533,-0.039260225679657236,medium,504000,all,moderate,0.30262140724099945,19.0169869,72.8302725,-0.33853208286940495,0.9939665522039751,1,1,1.0,0.5800644823955935,83,2,2,49
maharastra,mumbai,sanjay gandhi national park,national park,wildlife,1.2663846720508378,0.6479573469459234,medium,258000,all,moderate,0.15370189097517453,19.215041,72.9121984,1.3583278795012277,0.7644465289356678,1,1,1.0,0.43333276681902166,83,2,2,32
maharastra,mumbai,chhatrapati shivaji maharaj vastu sangrahalaya,museum,historical,-0.8235232346735313,0.35343553010638884,medium,156400,all,moderate,0.09219692002961435,18.9268772,72.8325921,0.41371840123074366,0.8922159349208327,1,1,1.0,0.42837213574797683,83,2,2,31
maharastra,mumbai,essel world,amusement park,recreational,3.356292578775207,3.9839077923483845,high,116100,all,luxury,0.06780075537305848,19.2253824,72.8080979,1.3381809683412524,0.7671716327278286,2,2,1.0,0.38247336140579224,83,1,0,0
maharastra,mumbai,haji ali dargah,religious shrine,religious,0.2214307186886533,-0.039260225679657236,medium,70400,all,moderate,0.040135625725301584,18.9828229,72.8089926,-0.0056547722894371,0.9489410287287987,1,1,1.0,0.4113166326173806,83,2,2,38
maharastra,mumbai,chowpatty beach,beach,recreational,0.2214307186886533,-0.039260225679657236,medium,21500,evening,moderate,0.010533331638314443,18.954359,72.8128787,0.2044812896576564,0.9205176850839725,1,1,1.0,0.38644942025398177,83,2,2,2
karnataka,mysore,mysore palace,palace,historical,0.2214307186886533,0.05891371326685429,medium,1150000,all,moderate,0.6936864784106046,12.3052196,76.6553846,-0.38313784690838787,1.0,1,1,1.0,0.8162118870463627,84,2,2,34
maharastra,nagpur,deekshabhoomi,monument,religious,-0.8235232346735313,-0.6283038593587263,low,49500,afternoon,budget,0.027483520481579066,21.1282013,79.06693,-0.38313784690838787,1.0,0,0,1.0,0.4164901122889474,85,0,1,28
uttarakhand,nainital,naini lake,lake,nature,-0.301046257992439,-0.3337820425191918,medium,4200,morning,moderate,6.0536388725945074e-05,29.3855849,79.4604798,-0.38313784690838787,1.0,1,1,1.0,0.40003632183323556,86,2,2,21
sikkim,namchi,char dham,religious complex,religious,0.2214307186886533,0.05891371326685429,medium,56400,all,moderate,0.031660531303669276,27.1735348,88.321995,-0.38313784690838787,1.0,1,1,1.0,0.41899631878220156,87,2,2,37
maharastra,nashik,sula vineyards,vineyard,recreational,0.2214307186886533,0.5497834079994118,medium,41000,afternoon,moderate,0.02233792743987373,20.0064403,73.6876504,-0.38313784690838787,1.0,1,1,1.0,0.4134027564639242,88,2,2,56
delhi,new delhi,gurudwara bangla sahib,gurudwara,religious,-0.8235232346735313,-0.6283038593587263,low,504000,all,budget,0.30262140724099945,28.6280479,77.2093211,-0.0272066661065625,0.9518561727477972,0,0,1.0,0.569536887531549,89,0,1,17
delhi,new delhi,jama masjid,mosque,historical,-0.8235232346735313,-0.6283038593587263,low,220500,all,budget,0.13100074520294513,28.595544,77.1213161,-0.016161508291027735,0.9503621868355585,0,0,1.0,0.46619099383065665,89,0,1,29
delhi,new delhi,rail museum,museum,cultural,0.2214307186886533,0.05891371326685429,medium,105600,morning,moderate,0.06144443455683425,28.5855294,77.1803985,-0.21844079959894416,0.9777228109749999,1,1,1.0,0.4312973634778505,89,2,2,31
uttar pradesh,noida,dlf mall of india,mall,shopping,0.2214307186886533,-0.039260225679657236,medium,690000,all,moderate,0.41521909027125725,28.5674442,77.321124,-0.3204727182432637,0.9915238133326943,1,1,1.0,0.6470124074959279,90,2,2,23
uttar pradesh,noida,okhla bird sanctuary,bird sanctuary,wildlife,-0.301046257992439,-0.27487767915128486,medium,15050,all,moderate,0.0066287345654909855,28.5569866,77.3090031,-0.3204711339158978,0.9915235990340121,1,1,1.0,0.40185814049779767,90,2,2,3
tamil nadu,ooty,ooty lake,lake,recreational,-0.8235232346735313,-0.6086690715694241,medium,250099,morning,moderate,0.14891891090193762,11.403417,76.6916789,-0.38313784690838787,1.0,1,1,1.0,0.4893513465411625,91,2,2,21
madhya pradesh,orchha,orchha fort,fort,historical,-0.301046257992439,-0.31414725472988947,medium,48000,afternoon,moderate,0.02657547465068989,25.3499086,78.6443859,-0.38313784690838787,1.0,1,1,1.0,0.4159452847904139,92,2,2,13
himachal pradesh,palampur,tea gardens,tea plantation,agricultural,-0.301046257992439,-0.3337820425191918,medium,6899,morning,moderate,0.0016944135204392027,32.1210671,76.5264001,-0.38313784690838787,1.0,1,1,1.0,0.40101664811226356,93,2,2,48
andaman and nicobar islands,port blair,cellular jail,landmark,historical,-0.301046257992439,-0.27487767915128486,medium,56400,afternoon,moderate,0.031660531303669276,11.6744456,92.7477856,-0.38313784690838787,1.0,1,1,1.0,0.41899631878220156,94,2,2,22
puducherry,puducherry,promenade beach,beach,recreational,-0.8235232346735313,-0.6283038593587263,low,40500,morning,budget,0.022035245496244006,11.9321674,79.8360554,-0.11308297315996162,0.963471940949173,0,0,1.0,0.40408913253503964,95,0,1,2
puducherry,puducherry,paradise beach,beach,recreational,-0.8235232346735313,-0.23560810357268028,medium,6750,morning,moderate,0.0016042143012375445,11.869834,79.8198877,-0.11308109962148259,0.9634716875313277,1,1,1.0,0.39183045046357445,95,2,2,2
maharastra,pune,shaniwar wada,fort,historical,0.2214307186886533,0.05891371326685429,medium,528000,all,moderate,0.3171501405352262,18.5193825,73.8553566,-0.38313784690838787,1.0,1,1,1.0,0.5902900843211357,96,2,2,13
odisha,puri,jagannath temple,temple,religious,0.2214307186886533,-0.039260225679657236,medium,470000,all,moderate,0.2820390350741781,19.8047726,85.8180811,-0.38313784690838787,1.0,1,1,1.0,0.5692234210445068,97,2,2,49
rajasthan,pushkar,pushkar lake,temple,religious,-0.301046257992439,-0.3337820425191918,medium,704000,all,moderate,0.4236941846928896,26.4875533,74.5540466,-0.38313784690838787,1.0,1,1,1.0,0.6542165108157337,98,2,2,49
andhra pradesh,puttaparthi,prasanthi nilayam,spiritual center,religious,-0.8235232346735313,-0.6283038593587263,low,56400,all,budget,0.031660531303669276,14.1658687,77.8077625,-0.38313784690838787,1.0,0,0,1.0,0.41899631878220156,99,0,1,45
tamil nadu,rameswaram,ramanathaswamy temple,temple,religious,-0.301046257992439,-0.3337820425191918,medium,4600,all,moderate,0.00030268194362972537,9.2880968,79.3173756,-0.38313784690838787,1.0,1,1,1.0,0.40018160916617784,100,2,2,49
jharkhand,ranchi,pahari mandir,temple,religious,-0.8235232346735313,-0.6283038593587263,low,59799,all,budget,0.03371816315646415,23.3781129,85.3119723,-0.38313784690838787,1.0,0,0,1.0,0.42023089789387846,101,0,1,49
sikkim,ravangla,buddha park,park,cultural,-0.8235232346735313,-0.5301299204122149,medium,48000,all,moderate,0.02657547465068989,27.3116732,88.3635699,-0.38313784690838787,1.0,1,1,1.0,0.4159452847904139,102,2,2,35
odisha,sambalpur,hirakud dam,dam,engineering marvel,-0.8235232346735313,-0.6283038593587263,low,4500,all,budget,0.0002421455549037803,21.5492431,83.9011286,-0.38313784690838787,1.0,0,0,1.0,0.4001452873329423,103,0,1,10
himachal pradesh,shimla,the ridge,scenic point,recreational,-0.8235232346735313,-0.6283038593587263,low,14100,morning,budget,0.006053638872594507,31.1047906,77.1752833,-0.38313784690838787,1.0,0,0,1.0,0.40363218332355666,104,0,1,41
maharastra,shirdi,sai baba temple,temple,religious,-0.301046257992439,-0.3337820425191918,medium,324300,all,moderate,0.19383751670047614,19.7693867,74.4776481,-0.38313784690838787,1.0,1,1,1.0,0.5163025100202857,105,2,2,49
karnataka,shivamogga,jog falls,waterfall,nature,-0.301046257992439,-0.27487767915128486,medium,105799,morning,moderate,0.061564901970398885,14.2292983,74.8123093,-0.38313784690838787,1.0,1,1,1.0,0.4369389411822393,106,2,2,58
gujarat,somnath,somnath temple,temple,religious,0.2214307186886533,-0.039260225679657236,medium,187200,morning,moderate,0.11084212775720544,20.8877578,70.4013836,-0.38313784690838787,1.0,1,1,1.0,0.4665052766543233,107,2,2,49
jammu and kashmir,srinagar,dal lake,lake,nature,0.2214307186886533,-0.039260225679657236,medium,69000,morning,moderate,0.03928811628313835,34.1137233,74.8700063,-0.38313784690838787,1.0,1,1,1.0,0.42357286976988295,108,2,2,21
maharashtra,tarkarli,tarkarli beach,beach,recreational,0.2214307186886533,-0.039260225679657236,medium,29899,evening,moderate,0.01561778292740657,16.014689,73.4895302,-0.38313784690838787,1.0,1,1,1.0,0.409370669756444,109,2,2,2
arunachal pradesh,tawang,tawang monastery,monastery,religious,0.2214307186886533,-0.039260225679657236,medium,15040,morning,moderate,0.006622680926618391,27.5866091,91.8573902,-0.38313784690838787,1.0,1,1,1.0,0.403973608555971,110,2,2,27
tamil nadu,thanjavur,brihadeeswarar temple,temple,religious,-0.301046257992439,-0.3337820425191918,medium,168000,all,moderate,0.09921914112182398,10.78258,79.1313819,-0.38313784690838787,1.0,1,1,1.0,0.45953148467309435,111,2,2,49
kerala,thiruvananthapuram,padmanabhaswamy temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,216200,all,budget,0.1283976804877295,8.4827027,76.9438872,-0.38313784690838787,1.0,0,0,1.0,0.47703860829263767,112,0,1,49
tamil nadu,tirunelveli,nellaiappar temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,73600,all,budget,0.042072790164531824,8.7284759,77.688951,-0.38313784690838787,1.0,0,0,1.0,0.4252436740987191,113,0,1,49
rajasthan,udaipur,lake pichola,lake,nature,-0.8235232346735313,-0.6283038593587263,low,229999,all,budget,0.13675109676802266,24.5696217,73.6721833,-0.3319432474601254,0.9930753356687366,0,0,1.0,0.4803194919779977,114,0,1,21
rajasthan,udaipur,city palace,palace,historical,0.2214307186886533,0.5497834079994118,medium,224400,all,moderate,0.133361664363257,24.5760597,73.6835668,-0.33194419586099483,0.9930754639509722,1,1,1.0,0.4782858646056972,114,2,2,34
uttarakhand,uttarkashi,gangotri temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,24000,all,budget,0.01204674135646307,30.9944345,78.9411466,-0.38313784690838787,1.0,0,0,1.0,0.40722804481387787,115,0,1,49
gujarat,vadodara,laxmi vilas palace,palace,historical,0.2214307186886533,0.35343553010638884,medium,74800,afternoon,moderate,0.04279922682924317,22.2918544,73.1883335,-0.38313784690838787,1.0,1,1,1.0,0.42567953609754594,116,2,2,34
uttar pradesh,varanasi,kashi vishwanath temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,423000,all,budget,0.2535869323729839,25.3108219,83.0106679,-0.38313784690838787,1.0,0,0,1.0,0.5521521594237904,117,0,1,49
kerala,varkala,varkala beach,beach,recreational,0.2214307186886533,-0.039260225679657236,medium,46000,all,moderate,0.025364746876170987,8.7332285,76.7054245,-0.38313784690838787,1.0,1,1,1.0,0.41521884812570253,118,2,2,2
andhra pradesh,vijayawada,kanaka durga temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,206800,all,budget,0.12270725994749067,16.5154312,80.6062147,-0.38313784690838787,1.0,0,0,1.0,0.4736243559684944,119,0,1,49
andhra pradesh,visakhapatnam,submarine museum,museum,historical,-0.8235232346735313,-0.5497647082015171,medium,225399,all,moderate,0.1339664228866292,17.7170864,83.3298119,-0.2413186667721865,0.9808173082949767,1,1,1.0,0.47558418080572173,120,2,2,31
andhra pradesh,visakhapatnam,indira gandhi zoological park,zoo,wildlife,0.2214307186886533,9.349898947373974e-06,medium,102499,afternoon,moderate,0.0595672011424427,17.7660894,83.3494389,-0.08353347637690271,0.9594750282164692,1,1,1.0,0.4256090777395829,120,2,2,60
andhra pradesh,visakhapatnam,visakha museum,museum,cultural,-0.8235232346735313,-0.6086690715694241,medium,27950,all,moderate,0.014437928711137901,17.7208267,83.3338207,-0.27770108365859725,0.9857384528534587,1,1,1.0,0.40509737044004746,120,2,2,31
andhra pradesh,visakhapatnam,matsyadarshini aquarium,aquarium,recreational,-0.8235232346735313,-0.5890342837801218,medium,11400,all,moderate,0.00441915637699399,17.7128522,83.3199058,-0.1748897276472408,0.9718320225367191,1,1,1.0,0.39560949946037616,120,2,2,1
andhra pradesh,visakhapatnam,kailasagiri,hill,recreational,0.2214307186886533,-0.039260225679657236,medium,8550,all,moderate,0.0026938692983045557,17.7499572,83.3396922,-0.23778478804114903,0.9803393101415865,1,1,1.0,0.39670114911437937,120,2,2,18
andhra pradesh,vizianagaram,simhachalam temple,temple,religious,-0.8235232346735313,-0.6283038593587263,low,277300,all,budget,0.16538541399928194,18.1125882,83.411064,-0.38313784690838787,1.0,0,0,1.0,0.4992312483995691,121,0,1,49
uttar pradesh,vrindavan,prem mandir,temple,religious,-0.301046257992439,-0.3337820425191918,medium,235200,evening,moderate,0.13989959434565907,27.5720889,77.672038,-0.38313784690838787,1.0,1,1,1.0,0.4839397566073954,122,2,2,49
kerala,wayanad,wayanad wildlife sanctuary,wildlife sanctuary,wildlife,1.2663846720508378,1.138827041678481,high,990000,all,luxury,0.5968282564490925,11.7645326,76.2436909,-0.38313784690838787,1.0,2,2,1.0,0.7580969538694555,123,1,0,59
tamil nadu,yercaud,yercaud lake,lake,recreational,-0.8235232346735313,-0.6283038593587263,low,7980,morning,budget,0.0023488118825666687,11.7832744,78.2104687,-0.38313784690838787,1.0,0,0,1.0,0.40140928712954005,124,0,1,21
